date,amount,merchant,category,description
2024-08-25,-325.99,Savings Account,savings,Up fact wonder
2024-08-26,-45.15,McDonald's,Food & Dining,Market whom economy former
2024-08-26,-80.07,Starbucks,Food & Dining,News voice whose
2024-08-26,-92.18,Medical Center,Health,Central shoulder rather light
2024-08-27,-58.35,Uber,Transportation,Under guess allow
2024-08-27,-116.91,Walgreens,Health,Daughter candidate determine soldier
2024-08-28,-75.92,Pharmacy,Health,Often bank century Mr
2024-08-29,-48.69,Disney+,Entertainment,Parent stuff
2024-08-29,-295.49,Nike,Shopping,Risk several
2024-08-29,-102.62,Savings Account,savings,Child tell talk forget trade
2024-08-30,-126.17,Dental Clinic,Health,Accept explain edge program one
2024-08-30,-68.32,Target,Shopping,Form spend
2024-08-30,-32.31,Spotify,Entertainment,Within memory successful
2024-08-30,-66.77,Shell,Transportation,Two ten teacher myself change
2024-08-30,-77.95,Whole Foods,Groceries,Leave listen hotel
2024-08-31,3000.00,Employer Inc,Income,Monthly Salary
2024-08-31,-69.23,Chipotle,Food & Dining,Main own whom he
2024-09-01,-2003.14,Landlord,Housing,Move better
2024-09-02,-34.04,Shell,Transportation,Half water no
2024-09-03,-156.48,Savings Account,savings,Final stay though identify
2024-09-03,-28.27,Pharmacy,Health,Network investment
2024-09-03,-74.68,Lyft,Transportation,Already over sport newspaper
2024-09-03,814.17,Freelance Client,Income,Payment from Freelance Client
2024-09-04,-379.78,Savings Account,savings,Behind reality
2024-09-04,-40.33,Safeway,Groceries,Could put
2024-09-04,-480.32,Savings Account,savings,Safe owner painting finally
2024-09-04,-217.93,Apple Store,Shopping,Case news response
2024-09-04,-253.13,Nike,Shopping,Easy side smile better
2024-09-05,-43.47,Starbucks,Food & Dining,Soldier whom
2024-09-05,-125.36,Walgreens,Health,Politics enter throw commercial continue
2024-09-05,-27.30,HBO Max,Entertainment,Might clear too
2024-09-05,-36.77,Walgreens,Health,Give employee
2024-09-05,-11.30,Disney+,Entertainment,Candidate recognize
2024-09-06,-245.35,Target,Shopping,Very particular exist challenge ground
2024-09-07,-67.26,Nike,Shopping,Hand attention yourself method into
2024-09-07,-86.84,Subway,Food & Dining,Follow only poor
2024-09-08,-296.37,Target,Shopping,About daughter agree
2024-09-08,-409.52,Savings Account,savings,Control girl board finally
2024-09-08,-1200.04,Landlord,Housing,Impact over successful
2024-09-08,-140.76,Savings Account,savings,Data painting board step
2024-09-09,-267.79,Savings Account,savings,Professional drop yourself blue
2024-09-09,-467.18,Savings Account,savings,Weight medical
2024-09-10,828.23,Side Gig LLC,Income,Payment from Side Gig LLC
2024-09-10,-1847.50,Property Management,Housing,Current involve
2024-09-11,-185.05,Internet Provider,Bills,Find population decade wear
2024-09-11,-163.03,Costco,Groceries,Himself music if
2024-09-11,-31.75,Pharmacy,Health,Middle property building
2024-09-11,428.73,Freelance Client,Income,Payment from Freelance Client
2024-09-11,-44.33,Nike,Shopping,Along goal painting
2024-09-12,-162.32,Water Corp,Bills,Still heart environment
2024-09-13,-120.26,Medical Center,Health,Mouth state bill cut
2024-09-13,-144.10,Savings Account,savings,Actually high
2024-09-13,-29.70,Starbucks,Food & Dining,Always north action
2024-09-13,-2497.39,Landlord,Housing,This central above another turn
2024-09-14,-157.15,Savings Account,savings,Ask spend popular
2024-09-14,-489.51,Savings Account,savings,Hand little
2024-09-14,-70.80,BP,Transportation,Reason end anyone suffer director
2024-09-15,-98.88,Trader Joe's,Groceries,Stand who
2024-09-15,-149.83,Dental Clinic,Health,Sure per part
2024-09-15,-67.86,AT&T,Bills,Billion trouble of attorney lot
2024-09-15,-50.80,Shell,Transportation,Me successful not myself
2024-09-16,-78.42,Pharmacy,Health,Happy light real nothing
2024-09-16,-294.06,Apple Store,Shopping,On success key
2024-09-17,-105.86,Whole Foods,Groceries,Head discussion
2024-09-18,-67.64,BP,Transportation,Three nice could
2024-09-18,-136.10,Nike,Shopping,Hear resource machine truth
2024-09-18,-77.81,Trader Joe's,Groceries,Will information wrong property central
2024-09-19,-79.52,Uber,Transportation,Six idea
2024-09-19,-22.64,Uber,Transportation,Accept close popular debate however
2024-09-19,-1032.47,Property Management,Housing,Fine catch term add will
2024-09-20,-55.32,Trader Joe's,Groceries,Our wrong fear
2024-09-20,-28.91,AMC Theaters,Entertainment,Positive physical
2024-09-20,-76.28,Subway,Food & Dining,Region real lay fast tend
2024-09-21,-62.81,Shell,Transportation,Provide account
2024-09-21,-51.27,Chevron,Transportation,Tend occur though condition
2024-09-21,-84.22,Costco,Groceries,Process quite
2024-09-22,-2364.44,Property Management,Housing,Network financial answer soon particularly
2024-09-22,-290.88,Nike,Shopping,Less allow
2024-09-23,-1809.87,Property Management,Housing,Mention detail
2024-09-23,-64.45,Amazon,Shopping,Maintain produce brother public
2024-09-24,-77.90,Lyft,Transportation,Conference firm cover
2024-09-24,-34.55,Trader Joe's,Groceries,Coach magazine
2024-09-24,-280.75,Nike,Shopping,Laugh card true happen several
2024-09-25,-152.81,Trader Joe's,Groceries,Senior maybe interest
2024-09-25,-246.83,Nike,Shopping,Different power assume collection information
2024-09-25,-196.42,Water Corp,Bills,Sea organization employee product
2024-09-25,-61.82,Nike,Shopping,Reason door half science
2024-09-26,-49.73,Spotify,Entertainment,Stage beautiful
2024-09-26,-96.62,Walmart,Groceries,Edge lead under little
2024-09-26,560.59,Freelance Client,Income,Payment from Freelance Client
2024-09-27,-142.98,Target,Shopping,There civil morning ask place
2024-09-27,-54.56,Whole Foods,Groceries,Rather yeah wish music
2024-09-27,-77.34,Internet Provider,Bills,Floor out do gun
2024-09-27,-1431.21,Landlord,Housing,Dark employee public
2024-09-28,-17.72,Starbucks,Food & Dining,Great civil the
2024-09-28,-21.10,AMC Theaters,Entertainment,Final enough
2024-09-28,-181.42,Verizon,Bills,Especially take politics kid
2024-09-28,-328.32,Savings Account,savings,Into whether billion wall
2024-09-29,-38.86,Spotify,Entertainment,Drug father street bad
2024-09-29,-187.58,Savings Account,savings,Threat surface fear stand
2024-09-29,-1405.49,Mortgage Co.,Housing,When positive dark
2024-09-29,-155.87,Utility Company,Bills,Claim question
2024-09-30,3000.00,Employer Inc,Income,Monthly Salary
2024-09-30,-178.27,Best Buy,Shopping,Adult clearly onto environment
2024-09-30,-259.85,Best Buy,Shopping,People analysis end
2024-10-01,-64.38,Dental Clinic,Health,Society music
2024-10-01,-51.42,Water Corp,Bills,Stuff play area
2024-10-01,-50.80,Medical Center,Health,Low affect television
2024-10-01,-194.54,Best Buy,Shopping,Here picture identify tonight
2024-10-02,-29.41,Netflix,Entertainment,Big meeting crime table
2024-10-02,-17.56,AMC Theaters,Entertainment,Community worry theory
2024-10-03,-79.10,Walgreens,Health,Account force
2024-10-03,-21.70,McDonald's,Food & Dining,Event quickly policy head
2024-10-03,-20.79,Dental Clinic,Health,Federal them scene travel here
2024-10-04,-37.29,Chevron,Transportation,Glass knowledge
2024-10-04,-96.80,Safeway,Groceries,Technology her carry
2024-10-05,-66.05,Shell,Transportation,See during ok
2024-10-06,-279.16,Savings Account,savings,Total body establish strategy
2024-10-07,-270.22,Savings Account,savings,Free nor feel act
2024-10-07,-35.18,Netflix,Entertainment,Kid key
2024-10-07,-59.08,Walgreens,Health,Before off growth
2024-10-08,-210.13,Savings Account,savings,Lose system
2024-10-08,326.81,Freelance Client,Income,Payment from Freelance Client
2024-10-08,-20.68,Disney+,Entertainment,High continue half
2024-10-08,-64.75,Internet Provider,Bills,Conference top try
2024-10-08,-159.75,Verizon,Bills,Simply street
2024-10-09,-186.60,Nike,Shopping,Thousand explain left color
2024-10-10,-486.51,Savings Account,savings,Billion call animal
2024-10-10,-262.58,Nike,Shopping,Job enjoy executive similar
2024-10-10,-99.97,Medical Center,Health,Forward agent space
2024-10-10,-79.58,CVS,Health,Those argue camera sure miss
2024-10-10,204.73,Freelance Client,Income,Payment from Freelance Client
2024-10-11,934.77,Side Gig LLC,Income,Payment from Side Gig LLC
2024-10-11,-173.97,AT&T,Bills,No attorney girl
2024-10-12,-74.17,Shell,Transportation,Better democratic commercial
2024-10-13,-1563.62,Landlord,Housing,Enter family eat protect
2024-10-13,-308.44,Savings Account,savings,Work bag high behind
2024-10-14,-34.13,BP,Transportation,Project less over
2024-10-14,-99.75,Nike,Shopping,Audience understand cause
2024-10-14,-64.37,Starbucks,Food & Dining,Truth hour imagine happy worker
2024-10-15,-72.08,Apple Store,Shopping,Talk if
2024-10-15,-380.02,Savings Account,savings,Before here will
2024-10-15,-46.46,Local Restaurant,Food & Dining,Answer development still
2024-10-16,-58.60,Lyft,Transportation,Current truth focus
2024-10-16,-74.25,McDonald's,Food & Dining,Mrs drug chance increase
2024-10-17,-145.28,Internet Provider,Bills,Hot technology
2024-10-18,-214.76,Savings Account,savings,Role west free rate ok
2024-10-18,-394.90,Savings Account,savings,Camera property
2024-10-18,-40.90,AMC Theaters,Entertainment,Traditional kid knowledge individual and
2024-10-18,-423.56,Savings Account,savings,Today everything method
2024-10-19,990.69,Freelance Client,Income,Payment from Freelance Client
2024-10-20,-1301.64,Mortgage Co.,Housing,Room give
2024-10-20,661.60,Side Gig LLC,Income,Payment from Side Gig LLC
2024-10-20,-22.05,Local Restaurant,Food & Dining,Become evening he discuss
2024-10-20,-17.24,AMC Theaters,Entertainment,Act none section
2024-10-20,-423.12,Savings Account,savings,Crime station name deep why
2024-10-21,257.04,Freelance Client,Income,Payment from Freelance Client
2024-10-21,-90.22,Trader Joe's,Groceries,Draw include democratic along necessary
2024-10-21,-171.41,Costco,Groceries,Book heart actually
2024-10-21,-144.78,Trader Joe's,Groceries,Certain feeling away
2024-10-22,676.08,Side Gig LLC,Income,Payment from Side Gig LLC
2024-10-23,897.83,Freelance Client,Income,Payment from Freelance Client
2024-10-24,-36.92,Subway,Food & Dining,Offer they particular fire
2024-10-24,552.15,Freelance Client,Income,Payment from Freelance Client
2024-10-24,-170.54,Verizon,Bills,Notice focus road speak
2024-10-24,-61.58,Chipotle,Food & Dining,Tell seek now
2024-10-25,-124.24,Costco,Groceries,Could benefit character
2024-10-25,-75.28,Chipotle,Food & Dining,Through else decide
2024-10-25,-33.87,Lyft,Transportation,Program next beyond
2024-10-26,-10.85,Subway,Food & Dining,Himself difficult heart whatever
2024-10-26,-130.37,Savings Account,savings,Exist much attention anyone
2024-10-26,-51.38,Safeway,Groceries,Toward parent
2024-10-26,-63.60,Subway,Food & Dining,Although all health degree
2024-10-26,-137.15,Internet Provider,Bills,Whose cut fund
2024-10-27,-30.54,Apple Store,Shopping,Letter stuff
2024-10-28,-22.35,Starbucks,Food & Dining,Of floor
2024-10-29,-241.53,Savings Account,savings,Usually resource question door from
2024-10-29,-29.98,AMC Theaters,Entertainment,Dog event board news
2024-10-29,-171.55,Savings Account,savings,Require event court
2024-10-29,116.07,Side Gig LLC,Income,Payment from Side Gig LLC
2024-10-29,-159.12,Trader Joe's,Groceries,Almost south nature
2024-10-30,-224.09,Savings Account,savings,To dream whatever something ground
2024-10-31,3000.00,Employer Inc,Income,Monthly Salary
2024-10-31,-117.58,Dental Clinic,Health,Shake bring bad win
2024-11-01,-35.00,Subway,Food & Dining,Spring father research
2024-11-02,-338.50,Savings Account,savings,Interesting nor back culture
2024-11-02,-187.36,Best Buy,Shopping,Better past set prepare
2024-11-02,-47.30,Lyft,Transportation,Onto themselves simple
2024-11-02,-15.99,Netflix,Entertainment,Also society hospital school
2024-11-03,-161.28,Savings Account,savings,Stuff learn appear provide different
2024-11-04,-822.05,Landlord,Housing,Central sometimes
2024-11-04,-107.25,Dental Clinic,Health,History road station
2024-11-04,-339.06,Savings Account,savings,Firm leg evidence
2024-11-05,-112.46,Pharmacy,Health,Five wife
2024-11-05,-49.44,Disney+,Entertainment,Father himself true
2024-11-06,822.07,Side Gig LLC,Income,Payment from Side Gig LLC
2024-11-06,-347.07,Savings Account,savings,Region chance into beautiful
2024-11-06,-92.11,Starbucks,Food & Dining,Significant decade single
2024-11-07,-141.14,Dental Clinic,Health,Cause which
2024-11-08,-14.61,AMC Theaters,Entertainment,Work cold try leader
2024-11-08,-27.97,Best Buy,Shopping,Occur up
2024-11-08,387.68,Freelance Client,Income,Payment from Freelance Client
2024-11-08,-52.47,Local Restaurant,Food & Dining,Nature bring story
2024-11-08,-77.09,CVS,Health,Number during one will
2024-11-09,-126.29,Utility Company,Bills,Boy one real
2024-11-09,-275.14,Savings Account,savings,Will office along cold without
2024-11-09,-74.57,Local Restaurant,Food & Dining,Trip character
2024-11-09,-1342.80,Property Management,Housing,Wide manager of
2024-11-10,-12.18,McDonald's,Food & Dining,Seat remember its
2024-11-10,284.87,Freelance Client,Income,Payment from Freelance Client
2024-11-10,-44.42,Walgreens,Health,American base heavy
2024-11-10,-133.86,Best Buy,Shopping,Relate wear begin truth
2024-11-11,311.35,Side Gig LLC,Income,Payment from Side Gig LLC
2024-11-11,431.13,Side Gig LLC,Income,Payment from Side Gig LLC
2024-11-11,687.23,Freelance Client,Income,Payment from Freelance Client
2024-11-11,-74.33,Whole Foods,Groceries,Former her
2024-11-12,-39.98,BP,Transportation,These country radio necessary buy
2024-11-12,-68.53,BP,Transportation,Cultural item whose modern
2024-11-12,-936.65,Landlord,Housing,Authority account year
2024-11-12,-33.57,Whole Foods,Groceries,Cover feel part only
2024-11-12,-1478.83,Landlord,Housing,Ago space describe offer ago
2024-11-13,-189.01,Costco,Groceries,Medical environmental physical daughter list
2024-11-13,-1633.64,Mortgage Co.,Housing,Time with we
2024-11-13,-373.45,Savings Account,savings,Boy thought any even
2024-11-14,-195.25,Internet Provider,Bills,Everyone common scientist too situation
2024-11-15,-139.88,Nike,Shopping,Billion line strategy meeting lead
2024-11-15,-35.35,HBO Max,Entertainment,Million under build
2024-11-15,-61.13,Costco,Groceries,Hand class face once
2024-11-15,-83.99,Whole Foods,Groceries,Energy art often board subject
2024-11-15,-104.88,Dental Clinic,Health,Interesting body
2024-11-16,-473.22,Savings Account,savings,Morning tend finally
2024-11-16,-143.90,Trader Joe's,Groceries,Deep result discussion begin
2024-11-16,-86.70,Medical Center,Health,Republican two summer young
2024-11-17,-131.78,AT&T,Bills,Else western represent table
2024-11-17,563.06,Freelance Client,Income,Payment from Freelance Client
2024-11-17,-1109.40,Landlord,Housing,Message view
2024-11-18,-160.93,Target,Shopping,Create charge treatment recent
2024-11-18,-332.24,Savings Account,savings,Their behind turn
2024-11-18,-113.52,CVS,Health,Act man
2024-11-19,-125.06,AT&T,Bills,Clear ten science music husband
2024-11-19,-103.67,CVS,Health,Eight wide
2024-11-19,-808.13,Property Management,Housing,East hair cut heavy small
2024-11-20,-187.99,Nike,Shopping,Activity low program
2024-11-21,658.28,Freelance Client,Income,Payment from Freelance Client
2024-11-21,-11.43,AMC Theaters,Entertainment,Industry soon result vote
2024-11-22,-159.79,Savings Account,savings,Man must line whatever fight
2024-11-22,-15.67,Local Restaurant,Food & Dining,Article group right often
2024-11-22,-88.25,Utility Company,Bills,Tonight firm job many
2024-11-22,-77.08,Local Restaurant,Food & Dining,Still per
2024-11-22,-2034.75,Landlord,Housing,Edge pressure arm rest name
2024-11-23,-117.50,Medical Center,Health,Its Mrs measure
2024-11-23,-172.18,Trader Joe's,Groceries,Two thought
2024-11-23,-93.49,Chipotle,Food & Dining,North go job or
2024-11-23,-102.86,Internet Provider,Bills,Though various past member take
2024-11-23,-1126.15,Landlord,Housing,Activity its bar picture find
2024-11-24,-1089.41,Landlord,Housing,Choice couple service attack
2024-11-24,943.81,Freelance Client,Income,Payment from Freelance Client
2024-11-24,-43.24,Netflix,Entertainment,Around increase control
2024-11-24,-206.41,Savings Account,savings,Physical decision heavy pay
2024-11-24,-136.11,Trader Joe's,Groceries,Artist consider happen analysis this
2024-11-25,-137.69,Trader Joe's,Groceries,Drop Congress
2024-11-25,-48.10,Netflix,Entertainment,Trade fly
2024-11-25,-95.70,Medical Center,Health,Of throughout although major
2024-11-26,-2174.91,Mortgage Co.,Housing,Marriage green each
2024-11-26,498.15,Side Gig LLC,Income,Payment from Side Gig LLC
2024-11-26,-31.54,Costco,Groceries,Action institution
2024-11-26,-47.22,Disney+,Entertainment,Newspaper issue make
2024-11-26,-131.26,Trader Joe's,Groceries,Blood degree
2024-11-27,-176.43,Trader Joe's,Groceries,Mr floor account
2024-11-27,-384.69,Savings Account,savings,Direction would main
2024-11-28,-356.58,Savings Account,savings,Little century writer
2024-11-29,-236.81,Savings Account,savings,Second decision various
2024-11-30,3000.00,Employer Inc,Income,Monthly Salary
2024-11-30,-77.07,Safeway,Groceries,Commercial hot
2024-12-01,-21.07,Chevron,Transportation,Already benefit former pattern decision
2024-12-02,-10.44,Starbucks,Food & Dining,Low into
2024-12-02,-35.10,Spotify,Entertainment,Majority network reality lead
2024-12-02,-18.62,Spotify,Entertainment,Young often house
2024-12-02,-177.02,Savings Account,savings,Side nor accept help
2024-12-02,-64.43,Walgreens,Health,Store table argue
2024-12-03,-841.18,Landlord,Housing,Great final if
2024-12-03,-269.96,Apple Store,Shopping,Customer order anyone out
2024-12-04,-330.86,Savings Account,savings,Receive customer late
2024-12-04,-861.59,Landlord,Housing,Pressure fine force play
2024-12-04,-28.35,Lyft,Transportation,Push learn war leave
2024-12-04,-279.08,Nike,Shopping,Alone by exist
2024-12-05,-26.07,Chipotle,Food & Dining,Test here who
2024-12-06,-114.76,Medical Center,Health,Make budget
2024-12-06,219.34,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-06,-43.48,Starbucks,Food & Dining,Certain along chance
2024-12-06,-111.37,Trader Joe's,Groceries,Here later structure us
2024-12-06,-195.93,Nike,Shopping,Never design shoulder
2024-12-07,219.47,Freelance Client,Income,Payment from Freelance Client
2024-12-07,-147.25,Walgreens,Health,Wrong set physical her check
2024-12-07,-96.92,Whole Foods,Groceries,Station at fill prepare
2024-12-07,-188.86,Savings Account,savings,Argue difference about
2024-12-07,-167.45,Savings Account,savings,Game strategy early decade
2024-12-08,-114.23,Dental Clinic,Health,Protect reality myself
2024-12-08,898.66,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-09,-83.81,Safeway,Groceries,Break time stand office smile
2024-12-09,-127.41,Water Corp,Bills,Best ask force born form
2024-12-09,-75.49,Lyft,Transportation,Middle happy could usually population
2024-12-09,-1238.92,Mortgage Co.,Housing,Challenge head feel purpose make
2024-12-10,-25.45,HBO Max,Entertainment,Hotel fact to question
2024-12-11,361.55,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-11,-195.12,Safeway,Groceries,Place stop
2024-12-12,-44.59,Netflix,Entertainment,Toward direction realize
2024-12-12,-87.30,Water Corp,Bills,Professional put itself outside us
2024-12-13,-142.60,Walgreens,Health,My consumer rich raise
2024-12-13,-82.30,Local Restaurant,Food & Dining,Interview exist half home
2024-12-13,835.18,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-13,-134.90,Costco,Groceries,Ago probably house
2024-12-13,-138.71,Water Corp,Bills,Hold method
2024-12-14,-47.79,BP,Transportation,Significant ok identify
2024-12-14,-30.05,McDonald's,Food & Dining,Challenge must past force
2024-12-15,-55.46,McDonald's,Food & Dining,Report participant friend charge
2024-12-15,-62.43,Trader Joe's,Groceries,Stage from the prevent on
2024-12-15,-31.02,Safeway,Groceries,Kid avoid herself
2024-12-16,454.00,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-16,-26.15,Shell,Transportation,Player trip air
2024-12-16,-124.92,Walgreens,Health,Evidence degree send drug school
2024-12-16,-25.89,Local Restaurant,Food & Dining,Late race ask bar moment
2024-12-16,-395.95,Savings Account,savings,His school especially hot long
2024-12-17,-53.86,Whole Foods,Groceries,Success talk poor
2024-12-17,-2342.54,Property Management,Housing,Represent sound
2024-12-17,-26.35,Best Buy,Shopping,Doctor I forget food
2024-12-18,-96.83,Verizon,Bills,Ground every bed
2024-12-18,-82.55,Starbucks,Food & Dining,Lay nice
2024-12-19,-78.73,Apple Store,Shopping,Citizen close box story
2024-12-19,-171.78,AT&T,Bills,Sea thus community woman
2024-12-20,-173.10,Nike,Shopping,Language poor likely real
2024-12-20,-44.99,Chipotle,Food & Dining,Well garden hospital
2024-12-21,-419.95,Savings Account,savings,Range just
2024-12-21,-84.98,Subway,Food & Dining,Thousand before drive road
2024-12-21,-1453.72,Landlord,Housing,Race prove must
2024-12-21,-198.30,Savings Account,savings,Policy seek station
2024-12-22,-26.92,Lyft,Transportation,Dog by
2024-12-22,-54.73,Shell,Transportation,Quickly they
2024-12-23,521.62,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-24,-269.14,Savings Account,savings,Design evening
2024-12-24,624.75,Freelance Client,Income,Payment from Freelance Client
2024-12-24,639.22,Side Gig LLC,Income,Payment from Side Gig LLC
2024-12-24,-43.79,Shell,Transportation,Candidate back artist
2024-12-24,-1480.34,Landlord,Housing,Tree play response serve
2024-12-25,-59.43,Medical Center,Health,Crime admit piece nor
2024-12-25,-88.30,Trader Joe's,Groceries,Occur trial test dark popular
2024-12-25,-111.11,Verizon,Bills,Safe local get
2024-12-26,-117.36,Safeway,Groceries,Alone question phone stage
2024-12-26,-29.52,Spotify,Entertainment,Economic police power head
2024-12-26,-140.69,Target,Shopping,Open finally
2024-12-27,-85.26,Target,Shopping,Yes owner check
2024-12-27,-19.04,Spotify,Entertainment,Follow leg information people
2024-12-27,-102.54,Verizon,Bills,Ten will
2024-12-28,-156.03,Verizon,Bills,Either receive draw
2024-12-28,-427.82,Savings Account,savings,Art star front address
2024-12-28,-121.62,Dental Clinic,Health,Seven mother movement
2024-12-28,-47.01,Netflix,Entertainment,Energy both
2024-12-29,-225.16,Savings Account,savings,Health assume economic suffer finish
2024-12-29,-50.57,Medical Center,Health,Behavior including
2024-12-30,-1751.46,Property Management,Housing,Interest attack card
2024-12-31,3000.00,Employer Inc,Income,Monthly Salary
2024-12-31,-75.50,Best Buy,Shopping,Building than
2025-01-01,-188.04,Water Corp,Bills,View remember student ever me
2025-01-01,-11.67,Netflix,Entertainment,Partner set standard dark owner
2025-01-01,-65.96,Chevron,Transportation,Compare game item
2025-01-01,-111.91,Water Corp,Bills,Win soldier thus
2025-01-02,-30.84,Dental Clinic,Health,Five hit where
2025-01-02,900.33,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-02,-56.90,BP,Transportation,Growth center contain
2025-01-02,-31.36,Spotify,Entertainment,Together best leader
2025-01-02,-20.99,Chevron,Transportation,Government fund usually institution
2025-01-03,-180.83,Water Corp,Bills,Style career pay term street
2025-01-03,-2333.76,Property Management,Housing,Continue administration score
2025-01-04,692.17,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-04,-146.90,Utility Company,Bills,City help
2025-01-05,723.28,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-05,-133.56,Walgreens,Health,Cost skill
2025-01-05,-23.14,Walgreens,Health,Always billion himself physical
2025-01-06,-49.54,HBO Max,Entertainment,Left prove very guy
2025-01-07,-362.00,Savings Account,savings,Oil site soon
2025-01-07,-63.64,Chevron,Transportation,Country activity
2025-01-08,-88.98,Dental Clinic,Health,Ready glass leave family indicate
2025-01-09,-84.70,Costco,Groceries,Network lead serious else
2025-01-09,-100.71,Walmart,Groceries,Type cell not next section
2025-01-10,-144.32,Savings Account,savings,Tend easy
2025-01-10,-69.41,AT&T,Bills,Laugh artist free
2025-01-10,-45.09,Chevron,Transportation,As hour night trade report
2025-01-10,-26.45,Apple Store,Shopping,Election look whose
2025-01-10,-12.77,AMC Theaters,Entertainment,Write street treatment nothing
2025-01-11,-25.45,Uber,Transportation,Pressure hard style
2025-01-11,-397.68,Savings Account,savings,Collection I
2025-01-11,985.15,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-12,-1889.23,Mortgage Co.,Housing,Own can
2025-01-13,-61.61,Subway,Food & Dining,Green difficult support check speech
2025-01-13,-1937.04,Mortgage Co.,Housing,Wide to again religious
2025-01-13,-79.04,Walgreens,Health,Option oil instead better
2025-01-13,-131.52,Verizon,Bills,Their operation outside military
2025-01-13,-64.67,CVS,Health,Soon discussion sea
2025-01-14,-11.48,Local Restaurant,Food & Dining,Station quality also
2025-01-14,-23.64,Pharmacy,Health,More so pattern
2025-01-14,-1403.35,Landlord,Housing,Brother at capital share sea
2025-01-14,-38.41,Walmart,Groceries,Successful begin during customer set
2025-01-15,149.38,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-15,-306.31,Savings Account,savings,Weight yard and
